year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2007,15-19,1,2,2,0.600213802114265,194145.046037535,3.09157413163261e-06
2007,15-19,2,1,1,1.00064991334489,4550262.31808389,2.19910379533077e-07
2007,15-19,2,1,2,1.00064991334489,99670.7353496327,1.00395558418901e-05
2007,15-19,2,2,1,0.500324956672444,3728427.00750325,1.34191967729439e-07
2007,15-19,2,2,2,0.500324956672444,283595.939063229,1.76421763416328e-06
2007,20-24,1,1,1,5.33523379657125,4443263.04902468,1.20074677949629e-06
2007,20-24,1,1,2,0,333329.382123543,0
2007,20-24,1,2,1,2.22301408190469,3250216.40681968,6.83958790325564e-07
2007,20-24,1,2,2,4.44602816380937,903244.162032095,4.92228829224516e-06
2007,20-24,2,1,1,6.7102405953716,4123750.14915994,1.62721803035001e-06
2007,20-24,2,1,2,0,466694.072044661,0
2007,20-24,2,2,1,12.3021077581813,3142780.23166934,3.91440280622065e-06
2007,20-24,2,2,2,0,1201757.54712606,0
2007,25-29,1,1,1,7.8415028985896,3941748.95304527,1.9893460978867e-06
2007,25-29,1,1,2,2.61383429952987,350788.382270677,7.45131375962436e-06
2007,25-29,1,2,1,21.9064207960598,3010616.22389632,7.27639100001549e-06
2007,25-29,1,2,2,3.65107013267664,919191.440787734,3.97204539845119e-06
2007,25-29,2,1,1,12.3951473136915,3758442.26838564,3.29794804032352e-06
2007,25-29,2,1,2,0,476091.62881314,0
2007,25-29,2,2,1,10.5676576456472,2995064.11704719,3.52835773548174e-06
2007,25-29,2,2,2,9.05799226769764,1192411.98575403,7.59636130457857e-06
2007,30-34,1,1,1,39.0467094983502,3434092.93673464,1.13703123991392e-05
2007,30-34,1,1,2,4.50538955750195,288511.353144043,1.56159870604904e-05
2007,30-34,1,2,1,33.4501528846791,2737718.61309266,1.22182581967006e-05
2007,30-34,1,2,2,8.02803669232298,751451.097028656,1.06833787641897e-05
2007,30-34,2,1,1,34.3434168592336,3338242.29291618,1.02878742301334e-05
2007,30-34,2,1,2,1.49319203735798,402236.329623351,3.71222569268218e-06
2007,30-34,2,2,1,35.2120056914222,2808187.95698621,1.25390487498608e-05
2007,30-34,2,2,2,8.00272856623232,985543.420474265,8.12011769342566e-06
2007,35-39,1,1,1,64.6880041460234,3094980.5279451,2.09009405913687e-05
2007,35-39,1,1,2,4.51311656832721,237599.165014858,1.89946651034947e-05
2007,35-39,1,2,1,68.2905796523197,2616859.44785435,2.6096388061007e-05
2007,35-39,1,2,2,9.56068115132475,647833.859185691,1.47579213648114e-05
2007,35-39,2,1,1,58.6033255039679,3022447.86796751,1.93893585808567e-05
2007,35-39,2,1,2,5.09594134817112,330550.613994591,1.54165236197519e-05
2007,35-39,2,2,1,48.0700682056094,2744045.38573188,1.75179566837916e-05
2007,35-39,2,2,2,11.3106042836728,842037.132306026,1.34324293427503e-05
2007,40-44,1,1,1,108.580846249948,2839445.81999049,3.82401542883856e-05
2007,40-44,1,1,2,8.46084516233362,200927.835086565,4.21088753516329e-05
2007,40-44,1,2,1,98.2572224201871,2523692.00328384,3.89339199444046e-05
2007,40-44,1,2,2,18.7844689920946,580711.341639103,3.23473430690607e-05
2007,40-44,2,1,1,81.6403415248053,2803346.33432108,2.91224600133387e-05
2007,40-44,2,1,2,10.70693003604,275961.671113591,3.87986128393637e-05
2007,40-44,2,2,1,82.2490299984292,2711452.77782913,3.03339341444406e-05
2007,40-44,2,2,2,17.5284818029439,750312.216736207,2.33615839006211e-05
2007,45-49,1,1,1,210.427913590629,2383043.36802411,8.83021754510091e-05
2007,45-49,1,1,2,11.6098159222416,169175.871909274,6.86257194434189e-05
2007,45-49,1,2,1,199.716556431703,2271287.64078701,8.79309836611009e-05
2007,45-49,1,2,2,23.4042839568402,537628.119279607,4.3532477408735e-05
2007,45-49,2,1,1,113.672594785716,2395924.20646786,4.74441530657998e-05
2007,45-49,2,1,2,5.90506985899822,221657.654461243,2.66404960088158e-05
2007,45-49,2,2,1,101.802606386716,2499309.21942549,4.07322973866023e-05
2007,45-49,2,2,2,17.775058257998,662228.919645411,2.68412594658591e-05
2007,50-54,1,1,1,278.608318393765,1937211.41937768,0.000143819262888336
2007,50-54,1,1,2,19.4726244038653,125710.738931318,0.000154900246147659
2007,50-54,1,2,1,355.235702326503,1928609.17837814,0.000184192684712429
2007,50-54,1,2,2,38.9299399809866,443034.663312864,8.78710927264283e-05
2007,50-54,2,1,1,120.048007581511,2014192.6177032,5.96010562874581e-05
2007,50-54,2,1,2,7.1457147369947,157622.830857065,4.53342621632939e-05
2007,50-54,2,2,1,131.021311184572,2174940.01803628,6.02413446338944e-05
2007,50-54,2,2,2,27.9708417135603,504042.53340346,5.54930186639053e-05
2007,55-59,1,1,1,372.195123343112,1531417.91918156,0.000243039550916334
2007,55-59,1,1,2,12.6405890946717,87891.9987738872,0.000143819565728516
2007,55-59,1,2,1,406.278171488569,1598486.54861886,0.000254164272974086
2007,55-59,1,2,2,60.1893587390473,331911.533425696,0.000181341570501712
2007,55-59,2,1,1,139.574663360152,1645449.73165202,8.48246292033604e-05
2007,55-59,2,1,2,30.4024019200331,96071.643965398,0.000316455518664623
2007,55-59,2,2,1,194.259503177354,1857743.00761294,0.000104567479129938
2007,55-59,2,2,2,0,346614.616769642,0
2007,60-64,1,1,1,416.976128425972,1169743.10179558,0.000356468123458822
2007,60-64,1,1,2,10.9013366908751,51512.0734648528,0.000211626827607962
2007,60-64,1,2,1,577.832513323967,1246847.55259721,0.000463434773658038
2007,60-64,1,2,2,52.6670259540074,222633.272142358,0.000236564038462008
2007,60-64,2,1,1,183.108446710464,1276418.92623122,0.000143454819532576
2007,60-64,2,1,2,12.1063435841629,49871.5574845579,0.000242750461280691
2007,60-64,2,2,1,197.896666603556,1523778.03862608,0.000129872370901205
2007,60-64,2,2,2,18.1556574865648,208690.477658144,8.69980158668554e-05
2007,65-69,1,1,1,435.66784597829,901275.863067756,0.000483390118199068
2007,65-69,1,1,2,12.730553940924,28467.2007257419,0.000447200764963597
2007,65-69,1,2,1,734.247899468033,991264.345924821,0.000740718560580328
2007,65-69,1,2,2,51.7934202944256,144752.590281682,0.000357806517960321
2007,65-69,2,1,1,220.6485852955,1008486.53463518,0.000218791801097592
2007,65-69,2,1,2,4.01179245991817,25090.8644461588,0.000159890563696077
2007,65-69,2,2,1,256.212938260521,1282689.76584312,0.000199746614562027
2007,65-69,2,2,2,34.4613893566783,123691.835075551,0.000278606824255047
2007,70-74,1,1,1,412.061963969992,645214.122016969,0.000638643746175096
2007,70-74,1,1,2,18.1792042927938,15693.1355696266,0.0011584175904259
2007,70-74,1,2,1,700.815560938588,761110.345394683,0.000920780495468331
2007,70-74,1,2,2,55.3658863111567,93267.3970187219,0.000593625297595074
2007,70-74,2,1,1,243.845799396059,748361.369938292,0.00032583964003402
2007,70-74,2,1,2,5.73754822108375,12583.6665418913,0.000455952023361658
2007,70-74,2,2,1,321.135462428057,1056261.91188164,0.000304030145190014
2007,70-74,2,2,2,16.6626890882483,74014.0516381758,0.00022512872514675
2007,75-79,1,1,1,384.511038890321,419822.228455423,0.000915890138321128
2007,75-79,1,1,2,8.35893562805046,7510.43944158824,0.001112975571278
2007,75-79,1,2,1,622.577956790189,528878.224072027,0.00117716693267636
2007,75-79,1,2,2,54.9333491285461,54254.1080309623,0.00101251962519034
2007,75-79,2,1,1,239.507658172013,509600.539585457,0.000469990982283583
2007,75-79,2,1,2,4.25161523382271,5619.82560890517,0.000756538641890525
2007,75-79,2,2,1,406.839862316185,804465.888300975,0.000505726679319402
2007,75-79,2,2,2,30.843455265848,43624.7465046625,0.000707017409546471
2007,80+,1,1,1,447.730128706612,411566.178720284,0.00108786910066025
2007,80+,1,1,2,11.0550649063361,5416.13436459863,0.00204113564438044
2007,80+,1,2,1,844.565396665846,512181.661745284,0.0016489567271658
2007,80+,1,2,2,59.1347405205888,46709.0251698342,0.00126602386381593
2007,80+,2,1,1,358.82709863309,553862.401222739,0.000647863256001712
2007,80+,2,1,2,6.0054744541103,3826.34074034233,0.00156950853613027
2007,80+,2,2,1,662.158623207281,909706.092581528,0.000727881926489284
2007,80+,2,2,2,56.712659858031,37414.1654553906,0.0015158071593405
2008,00-04,1,1,1,0,3968857.64432858,0
2008,00-04,1,1,2,0,0,0
2008,00-04,1,2,1,0,3820730.35567142,0
2008,00-04,1,2,2,0,0,0
2008,00-04,2,1,1,0,3720903.85185407,0
2008,00-04,2,1,2,0,0,0
2008,00-04,2,2,1,0,3734959.14814593,0
2008,00-04,2,2,2,0,0,0
2008,05-09,1,1,1,0,4677964.1961745,0
2008,05-09,1,1,2,0,0,0
2008,05-09,1,2,1,0,3745620.8038255,0
2008,05-09,1,2,2,0,0,0
2008,05-09,2,1,1,0,4400023.24078829,0
2008,05-09,2,1,2,0,0,0
2008,05-09,2,2,1,0,3699770.75921171,0
2008,05-09,2,2,2,0,0,0
2008,10-14,1,1,1,1.00036131518728,5027444.72372401,1.98980072414656e-07
2008,10-14,1,1,2,0,0,0
2008,10-14,1,2,1,1.00036131518728,3813143.27627599,2.62345588064097e-07
